3,6,24738270,59441120,,112,103,Z
3,6,24751430,59442930,,333,110,Z
3,6,24667920,59461230,,145,131,Z
3,6,24665390,59462970,,321,151,false
3,6,24709600,59450160,,142,152,false
3,6,24739280,59414170,,13,167,false
3,6,24745640,59431990,,182,170,false
3,6,24753730,59440390,,354,175,false
1,1,24658720,59400600,,240,317,Z
1,4,24690260,59399740,,78,319,Z
1,1,24700460,59424900,,204,327,Z
1,4,24679810,59400080,,126,329,Z
1,5,24658650,59400790,,164,332,Z
1,5,24736050,59439050,,33,333,Z
1,4,24729950,59436580,,270,335,Z
1,4,24697310,59402610,,226,336,Z
1,4,24680080,59399540,,156,337,Z
1,5,24658670,59400570,,152,338,Z
1,1,24711510,59432340,,38,339,Z
1,1,24658810,59400680,,159,340,Z
1,5,24698200,59422110,,27,341,Z
1,5,24669410,59404130,,256,342,Z
1,5,24710010,59430950,,238,343,Z
1,1,24690990,59414540,,28,344,Z
1,1,24755820,59434870,,173,345,Z
1,4,24716660,59432330,,327,346,Z
1,3,24738300,59430970,,156,433,Z
1,3,24659550,59400750,,329,435,Z
1,3,24659380,59400190,,121,438,Z
1,3,24709050,59414790,,19,440,Z
1,1,24658560,59400880,,161,441,Z
1,3,24731870,59428870,,77,442,Z
1,3,24660540,59399880,,115,443,Z
1,1,24726330,59434710,,74,445,Z
1,1,24737380,59431900,,247,446,Z
1,3,24693410,59400690,,227,447,Z
1,1,24680920,59404940,,215,449,Z
1,1,24658690,59400430,,158,450,Z
3,6,24742640,59428160,,196,502,Z
3,6,24734050,59411130,,201,504,Z
3,6,24669400,59461160,,317,509,Z
3,6,24729130,59441950,,116,510,Z
3,6,24681170,59455040,,135,513,Z
3,6,24734160,59411400,,204,515,Z
3,6,24736840,59413390,,221,517,Z
3,6,24669580,59461090,,999,518,Z
3,6,24742660,59422700,,357,519,Z
2,42,24652640,59416730,,148,1012,Z
2,52,24796200,59423620,,81,1014,Z
2,18A,24660710,59371320,,52,1016,Z
2,23,24678330,59391600,,115,1017,Z
2,23,24688360,59386960,,275,1018,Z
2,18A,24750820,59435730,,53,1019,Z
2,40,24711160,59432840,,328,1021,Z
2,13,24635900,59412590,,114,1023,Z
2,36,24726110,59397500,,189,1024,Z
2,18,24736730,59410320,,209,1028,Z
2,17,24702160,59395770,,280,1039,Z
2,11,24656640,59410030,,263,1109,Z
2,45,24729950,59403170,,257,1112,Z
2,3,24748300,59427750,,253,1113,Z
2,24,24703040,59407690,,208,1116,Z
2,8,24760030,59438970,,154,1121,Z
2,43,24647730,59419400,,93,1144,Z
2,21A,24627820,59428180,,129,1145,Z
2,8,24759670,59438950,,258,1149,Z
2,21,24740330,59440400,,249,1152,Z
2,59,24719230,59436620,,320,1153,Z
